Active,Vehicle License Number,Name,License Type,Expiration Date,Permit License Number,DMV License Plate Number,Vehicle VIN Number,Wheelchair Accessible,Certification Date,Hack Up Date,Vehicle Year,Base Number,Base Name,Base Type,VEH,Base Telephone Number,Website,Base Address,Reason,Order Date,Last Date Updated,Last Time Updated
YES,5415163,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,11/01/2027,,COMM329,W1Z4NFHY4PT117810,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,STR,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5426890,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,03/07/2028,,COMM301,1GNSKBKD2PR127070,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5523738,"TORO,JOEL",For Hire Vehicle,01/24/2028,,T115062C,1GNSKEKD5PR243204,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5539286,"A-TEAM,LIMOUSINE,INC",For Hire Vehicle,05/16/2028,,CONFE1,1GYS4KKL8PR245841,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5765153,"DE LA ROSA,WILKIN,A",For Hire Vehicle,03/20/2027,,T141870C,1GYS4RKL3PR298813,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5777642,"COMMONWEALTH,WRLDWDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,04/07/2027,,COMM320,1GNSKBKD4PR127135,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813877,"COMMONWEALTH,WRLDWDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM322,5LM5J0XC0NGL10479,,,,2022,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813881,"COMMONWEALTH,WRLDWDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM323,5LM5J0XC5NGL13250,,,,2022,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813886,"COMMONWEALTH,WORLDWIDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM324,5LM5J0XC9NGL13252,,,,2022,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813887,"COMMONWEALTH,WORLDWIDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM325,1GNSKCKD1RR231011,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813889,"COMMONWEALTH,WORLDWIDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM326,WDZPF1ED2KT014787,,,,2019,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5813895,"COMMONWEALTH,WORLDWIDE,CHFR,TRANS,OF,NY,LLC",For Hire Vehicle,09/08/2027,,COMM327,1GNSKCKD1RR234605,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5903449,"HAMOUDA,WALID,A",For Hire Vehicle,11/21/2026,,HAMOUDA2,1GYS9NRL6SR277401,,,,2025,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
